arrival_rate,workers,mean_latency_s,mean_waiting_s,throughput_events_s,mean_queue_length,utilization,completed_events,experiment,replication
2,1,0.12447889432112011,0.025806103044422796,1.99,0.051354145058401364,0.19635885464062677,1791,Experiment 1 - Increasing Workload,1
2,1,0.12122823889456243,0.02299431799578833,2.0244444444444443,0.046550719320362595,0.1988691154195171,1822,Experiment 1 - Increasing Workload,2
2,1,0.11669730791072307,0.019159269854573027,1.9755555555555555,0.037850202001589825,0.19269181295981802,1778,Experiment 1 - Increasing Workload,3
2,1,0.13052609327028336,0.029470917553534107,2.013333333333333,0.05933478067444867,0.2034577537763868,1812,Experiment 1 - Increasing Workload,4
2,1,0.12358790812681411,0.02321459858447437,1.9733333333333334,0.045810141206696096,0.19806999749688536,1776,Experiment 1 - Increasing Workload,5
4,1,0.16020815613207548,0.060565537378618514,3.9477777777777776,0.23909928256247953,0.39336691603447915,3553,Experiment 1 - Increasing Workload,1
4,1,0.15943426409564576,0.06044884021638001,3.951111111111111,0.2388400842327192,0.3911024081274067,3556,Experiment 1 - Increasing Workload,2
4,1,0.17050856410370513,0.07087610332890713,4.061111111111111,0.28783573074128393,0.40461849347987083,3655,Experiment 1 - Increasing Workload,3
4,1,0.16322696671763393,0.0633729763682979,3.9655555555555555,0.25130905850939467,0.3959765461742014,3569,Experiment 1 - Increasing Workload,4
4,1,0.17353600422398888,0.0715353799583338,4.042222222222223,0.2891619025426871,0.41230919008716965,3638,Experiment 1 - Increasing Workload,5
6,1,0.25764491733815015,0.15631362148383413,6.053333333333334,0.9462184553821427,0.613392110904795,5448,Experiment 1 - Increasing Workload,1
6,1,0.268766047700259,0.16728552837621474,6.0377777777777775,1.010032845773723,0.6127168244520653,5434,Experiment 1 - Increasing Workload,2
6,1,0.27947008784240596,0.1774159078096669,6.032222222222222,1.0702121816652017,0.6156134926641548,5429,Experiment 1 - Increasing Workload,3
6,1,0.22262446633495608,0.12528322429200622,5.901111111111111,0.7393102269053834,0.5744214849890099,5311,Experiment 1 - Increasing Workload,4
6,1,0.268972900895785,0.16612759574002134,5.875555555555556,0.9760919180813699,0.6042733040707576,5288,Experiment 1 - Increasing Workload,5
8,1,0.5246498943545573,0.4233150851704612,8.03,3.399220133918803,0.8137185177482938,7227,Experiment 1 - Increasing Workload,1
8,1,0.5524339153141653,0.4530277857094374,8.047777777777778,3.6458669465482836,0.7999984408078288,7243,Experiment 1 - Increasing Workload,2
8,1,0.4653073694902259,0.3653847761947972,7.894444444444445,2.884509816515594,0.788833361515581,7105,Experiment 1 - Increasing Workload,3
8,1,0.6020153090194919,0.501074440327233,8.014444444444445,4.015833264533702,0.8089849843080678,7213,Experiment 1 - Increasing Workload,4
